Protocol Version Latency #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 1 10 80 20 45 4 4 0 10000 2000.0000 1.0000 100.00 2.1006 0 2500 500.0000 1.0000 100.00 2.0719
SIMPLE randInt 10 10 80 20 45 4 4 0 10000 2000.0000 1.0000 100.00 2.1812 0 2500 500.0000 1.0000 100.00 2.1534
SIMPLE randInt 50 10 80 20 45 4 4 0 10000 2000.0000 1.0000 100.00 2.6833 0 2500 500.0000 1.0000 100.00 2.6484
SIMPLE randInt 100 10 80 20 45 4 4 0 10000 2000.0000 1.0000 100.00 3.3363 0 2500 500.0000 1.0000 100.00 3.3010
SIMPLE randInt 150 10 80 20 45 4 4 0 10000 2000.0000 1.0000 100.00 3.9048 0 2500 500.0000 1.0000 100.00 3.8542
SIMPLE randInt 200 10 80 20 45 4 4 0 10000 2000.0000 1.0000 100.00 4.5791 0 2500 500.0000 1.0000 100.00 4.5300
SIMPLE randInt 250 10 80 20 45 4 4 0 10000 2000.0000 1.0000 100.00 5.1938 0 2500 500.0000 1.0000 100.00 5.1351
SIMPLE randInt 300 10 80 20 45 4 4 0 9994 1998.8000 1.0000 100.00 5.7448 0 2500 500.0000 1.0000 100.00 5.6813
CWFR randInt 1 10 80 20 45 4 4 6036 3964 792.8000 .3964 39.64 1.5388 0 2500 500.0000 1.0000 100.00 2.0769
CWFR randInt 10 10 80 20 45 4 4 5842 4158 831.6000 .4158 41.58 1.6327 0 2500 500.0000 1.0000 100.00 2.1729
CWFR randInt 50 10 80 20 45 4 4 6055 3945 789.0000 .3945 39.45 1.9288 0 2500 500.0000 1.0000 100.00 2.5985
CWFR randInt 100 10 80 20 45 4 4 6209 3791 758.2000 .3791 37.91 2.3435 0 2500 500.0000 1.0000 100.00 3.2616
CWFR randInt 150 10 80 20 45 4 4 6339 3661 732.2000 .3661 36.61 2.7217 0 2500 500.0000 1.0000 100.00 3.8412
CWFR randInt 200 10 80 20 45 4 4 6541 3459 691.8000 .3459 34.59 3.1248 0 2500 500.0000 1.0000 100.00 4.5074
CWFR randInt 250 10 80 20 45 4 4 6672 3328 665.6000 .3328 33.28 3.5021 0 2500 500.0000 1.0000 100.00 5.1242
CWFR randInt 300 10 80 20 45 4 4 6803 3197 639.4000 .3197 31.97 3.8458 0 2499 499.8000 1.0000 100.00 5.6630
SSO_APRX randInt 1 10 80 20 45 4 4 3832 6168 1233.6000 .6168 61.68 1.8005 0 2500 500.0000 1.0000 100.00 2.0926
SSO_APRX randInt 10 10 80 20 45 4 4 3610 6390 1278.0000 .6390 63.90 1.9457 0 2500 500.0000 1.0000 100.00 2.2460
SSO_APRX randInt 50 10 80 20 45 4 4 3392 6608 1321.6000 .6608 66.08 2.3503 0 2500 500.0000 1.0000 100.00 2.6675
SSO_APRX randInt 100 10 80 20 45 4 4 3129 6871 1374.2000 .6871 68.71 2.9557 0 2500 500.0000 1.0000 100.00 3.3276
SSO_APRX randInt 150 10 80 20 45 4 4 3050 6950 1390.0000 .6950 69.50 3.5241 0 2500 500.0000 1.0000 100.00 3.9580
SSO_APRX randInt 200 10 80 20 45 4 4 3126 6874 1374.8000 .6874 68.74 3.9792 0 2500 500.0000 1.0000 100.00 4.5041
SSO_APRX randInt 250 10 80 20 45 4 4 2851 7149 1429.8000 .7149 71.49 4.5848 0 2500 500.0000 1.0000 100.00 5.1197
SSO_APRX randInt 300 10 80 20 45 4 4 2671 7329 1465.8000 .7329 73.29 5.2001 0 2498 499.6000 1.0000 100.00 5.7426
