Protocol Version #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 15 10 10 105 4 4 0 1107 221.4000 1.0000 100.00 8.4345 0 1121 224.2000 1.0000 100.00 8.4138
SIMPLE randInt 15 20 10 105 4 4 0 2237 447.4000 1.0000 100.00 8.4223 0 1110 222.0000 1.0000 100.00 8.4038
SIMPLE randInt 15 40 10 105 4 4 0 4448 889.6000 1.0000 100.00 8.4351 0 1115 223.0000 1.0000 100.00 8.3971
SIMPLE randInt 15 80 10 105 4 4 0 8936 1787.2000 1.0000 100.00 8.3849 0 1117 223.4000 1.0000 100.00 8.3597
SIMPLE randInt 15 10 20 105 4 4 0 1120 224.0000 1.0000 100.00 8.4047 0 2213 442.6000 1.0000 100.00 8.3673
SIMPLE randInt 15 20 20 105 4 4 0 2217 443.4000 1.0000 100.00 8.3723 0 2227 445.4000 1.0000 100.00 8.3377
SIMPLE randInt 15 40 20 105 4 4 0 4417 883.4000 1.0000 100.00 8.4701 0 2229 445.8000 1.0000 100.00 8.4485
SIMPLE randInt 15 80 20 105 4 4 0 8888 1777.6000 1.0000 100.00 8.4373 0 2230 446.0000 1.0000 100.00 8.4101
SIMPLE randInt 15 10 40 105 4 4 0 1105 221.0000 1.0000 100.00 8.4376 0 4481 896.2000 1.0000 100.00 8.4055
SIMPLE randInt 15 20 40 105 4 4 0 2214 442.8000 1.0000 100.00 8.5267 0 4421 884.2000 1.0000 100.00 8.5067
SIMPLE randInt 15 40 40 105 4 4 0 4422 884.4000 1.0000 100.00 8.4323 0 4451 890.2000 1.0000 100.00 8.4130
SIMPLE randInt 15 80 40 105 4 4 0 8892 1778.4000 1.0000 100.00 8.4414 0 4437 887.4000 1.0000 100.00 8.4162
SIMPLE randInt 15 10 80 105 4 4 0 1117 223.4000 1.0000 100.00 8.4534 0 8900 1780.0000 1.0000 100.00 8.4271
SIMPLE randInt 15 20 80 105 4 4 0 2223 444.6000 1.0000 100.00 8.4667 0 8869 1773.8000 1.0000 100.00 8.4363
SIMPLE randInt 15 40 80 105 4 4 0 4448 889.6000 1.0000 100.00 8.4369 0 8890 1778.0000 1.0000 100.00 8.4169
SIMPLE randInt 15 80 80 105 4 4 0 8907 1781.4000 1.0000 100.00 8.4368 0 8898 1779.6000 1.0000 100.00 8.4125
CWFR randInt 15 10 10 105 4 4 974 276 55.2000 .2208 22.08 5.1722 0 1123 224.6000 1.0000 100.00 8.3570
CWFR randInt 15 20 10 105 4 4 1991 507 101.4000 .2029 20.29 5.1404 0 1120 224.0000 1.0000 100.00 8.3891
CWFR randInt 15 40 10 105 4 4 3997 1002 200.4000 .2004 20.04 5.1276 0 1126 225.2000 1.0000 100.00 8.4173
CWFR randInt 15 80 10 105 4 4 7956 2040 408.0000 .2040 20.40 5.1173 0 1118 223.6000 1.0000 100.00 8.3778
CWFR randInt 15 10 20 105 4 4 976 274 54.8000 .2192 21.92 5.2027 0 2235 447.0000 1.0000 100.00 8.3741
CWFR randInt 15 20 20 105 4 4 1935 565 113.0000 .2260 22.60 5.2239 0 2228 445.6000 1.0000 100.00 8.4257
CWFR randInt 15 40 20 105 4 4 3940 1059 211.8000 .2118 21.18 5.2001 0 2216 443.2000 1.0000 100.00 8.4894
CWFR randInt 15 80 20 105 4 4 7680 2318 463.6000 .2318 23.18 5.2347 0 2248 449.6000 1.0000 100.00 8.3683
CWFR randInt 15 10 40 105 4 4 960 290 58.0000 .2320 23.20 5.2335 0 4467 893.4000 1.0000 100.00 8.3954
CWFR randInt 15 20 40 105 4 4 1900 599 119.8000 .2396 23.96 5.3185 0 4478 895.6000 1.0000 100.00 8.4273
CWFR randInt 15 40 40 105 4 4 3849 1148 229.6000 .2297 22.97 5.2810 0 4464 892.8000 1.0000 100.00 8.4709
CWFR randInt 15 80 40 105 4 4 7506 2489 497.8000 .2490 24.90 5.3665 0 4439 887.8000 1.0000 100.00 8.4748
