Protocol Version #Servers #Readers #Writers #Q RInt WInt RTot1Comm RTot2Comm RAve2comm RRatio RPercentage RAveTime WTot1Comm WTot2Comm WAve2comm WRatio WPercentage WAveTime
SIMPLE randInt 15 10 10 105 4 4 0 1250 250.0000 1.0000 100.00 2.4611 0 1250 250.0000 1.0000 100.00 2.4461
SIMPLE randInt 15 20 10 105 4 4 0 2500 500.0000 1.0000 100.00 2.4835 0 1250 250.0000 1.0000 100.00 2.4642
SIMPLE randInt 15 40 10 105 4 4 0 5000 1000.0000 1.0000 100.00 2.5106 0 1250 250.0000 1.0000 100.00 2.4866
SIMPLE randInt 15 80 10 105 4 4 0 10000 2000.0000 1.0000 100.00 2.4424 0 1250 250.0000 1.0000 100.00 2.4225
SIMPLE randInt 15 10 20 105 4 4 0 1250 250.0000 1.0000 100.00 2.4735 0 2500 500.0000 1.0000 100.00 2.4585
SIMPLE randInt 15 20 20 105 4 4 0 2500 500.0000 1.0000 100.00 2.4681 0 2500 500.0000 1.0000 100.00 2.4479
SIMPLE randInt 15 40 20 105 4 4 0 5000 1000.0000 1.0000 100.00 2.4939 0 2500 500.0000 1.0000 100.00 2.4795
SIMPLE randInt 15 80 20 105 4 4 0 10000 2000.0000 1.0000 100.00 2.4907 0 2500 500.0000 1.0000 100.00 2.4786
SIMPLE randInt 15 10 40 105 4 4 0 1250 250.0000 1.0000 100.00 2.4941 0 5000 1000.0000 1.0000 100.00 2.4698
SIMPLE randInt 15 20 40 105 4 4 0 2500 500.0000 1.0000 100.00 2.4936 0 5000 1000.0000 1.0000 100.00 2.4882
SIMPLE randInt 15 40 40 105 4 4 0 5000 1000.0000 1.0000 100.00 2.4856 0 5000 1000.0000 1.0000 100.00 2.4750
SIMPLE randInt 15 80 40 105 4 4 0 10000 2000.0000 1.0000 100.00 2.5316 0 5000 1000.0000 1.0000 100.00 2.5227
SIMPLE randInt 15 10 80 105 4 4 0 1250 250.0000 1.0000 100.00 2.4965 0 10000 2000.0000 1.0000 100.00 2.4706
SIMPLE randInt 15 20 80 105 4 4 0 2500 500.0000 1.0000 100.00 2.4981 0 10000 2000.0000 1.0000 100.00 2.4828
SIMPLE randInt 15 40 80 105 4 4 0 5000 1000.0000 1.0000 100.00 2.4741 0 10000 2000.0000 1.0000 100.00 2.4557
SIMPLE randInt 15 80 80 105 4 4 0 10000 2000.0000 1.0000 100.00 2.5228 0 10000 2000.0000 1.0000 100.00 2.5052
CWFR randInt 15 10 10 105 4 4 834 416 83.2000 .3328 33.28 1.7222 0 1250 250.0000 1.0000 100.00 2.4581
CWFR randInt 15 20 10 105 4 4 1754 746 149.2000 .2984 29.84 1.6643 0 1250 250.0000 1.0000 100.00 2.4427
CWFR randInt 15 40 10 105 4 4 3508 1492 298.4000 .2984 29.84 1.7119 0 1250 250.0000 1.0000 100.00 2.5056
CWFR randInt 15 80 10 105 4 4 6922 3078 615.6000 .3078 30.78 1.6874 0 1250 250.0000 1.0000 100.00 2.4534
CWFR randInt 15 10 20 105 4 4 845 405 81.0000 .3240 32.40 1.7017 0 2500 500.0000 1.0000 100.00 2.4799
CWFR randInt 15 20 20 105 4 4 1692 808 161.6000 .3232 32.32 1.7197 0 2500 500.0000 1.0000 100.00 2.4941
CWFR randInt 15 40 20 105 4 4 3417 1583 316.6000 .3166 31.66 1.7105 0 2500 500.0000 1.0000 100.00 2.4917
CWFR randInt 15 80 20 105 4 4 6838 3162 632.4000 .3162 31.62 1.7154 0 2500 500.0000 1.0000 100.00 2.4652
